THOP1,IGK_2,DEK,FLJ20712,TARP_5,SNHG3_1,GADD45A,SNORA14B,HNRNPA1,DNAJC7
6.49389,10.2773,6.47641,3.27883,5.14369,9.32029,10.6514,3.49293,5.80434,8.4429
6.25532,9.06319,7.02432,2.88174,6.0111,10.2923,10.6734,4.4376,4.46635,7.9138
6.62509,7.78938,5.60308,3.22273,5.28792,9.55934,9.47279,4.88589,5.60013,7.84061
6.14495,10.2329,7.39047,3.08436,4.35313,10.2227,10.4369,4.42649,5.22092,7.89679
6.26366,7.81355,7.13034,3.32396,5.95779,9.37092,9.54735,4.27129,4.94222,7.70188
5.69171,10.1486,8.29074,3.01551,7.43871,8.0414,9.0743,4.67222,5.90516,7.88337
6.45164,9.56642,5.64898,3.58066,3.58851,9.45792,9.33481,4.11304,4.8664,8.03497
6.63378,10.1166,7.19562,3.66204,6.14828,10.1947,10.5413,3.48784,5.37963,7.66664
6.89667,6.3131,5.1946,3.45194,4.285,9.48332,8.74922,3.43625,4.48739,7.35715
6.57933,9.26291,6.04279,3.27396,5.04035,11.3809,10.4154,3.87661,4.67583,7.86714
6.27296,5.64903,5.72758,3.40632,4.36144,11.859,9.04991,5.48535,5.30213,7.02995
6.89053,5.45762,4.87193,3.37633,2.72856,11.404,10.6297,5.63297,4.93964,7.98328
6.87819,9.86188,5.65809,4.06002,3.92131,10.0098,8.9143,3.95249,4.2716,7.06764
6.42243,8.70256,6.5883,3.21108,5.72201,11.2885,10.4864,3.48173,4.99595,7.374
6.41954,11.3044,7.16377,3.5773,6.00625,11.7388,11.2388,4.08656,5.78657,7.53877
7.10604,7.25278,5.41077,3.37962,4.31363,11.5922,9.8813,4.81199,4.95579,8.10632
6.91799,8.13184,5.76063,3.38309,5.48508,11.1903,11.4355,5.1577,4.8543,7.02523
6.2631,9.08371,5.87697,3.56217,4.11106,10.3891,8.92327,3.96452,5.74339,7.34842
6.36505,9.17065,7.50609,3.40338,6.55878,10.2278,11.8897,4.78905,5.21032,7.85537
6.51434,10.3249,6.53127,3.74283,5.06956,9.91798,8.42593,4.62286,5.60273,7.93458
7.49016,10.165,5.45938,3.11367,4.85805,11.497,10.2936,4.60717,6.09902,8.51087
6.73852,5.43492,7.13287,3.26423,6.63325,11.4775,10.1877,4.43075,5.7631,7.97102
6.40155,10.3568,4.66651,3.22834,3.50167,10.7697,10.8924,6.16883,4.66904,8.10291
6.37632,10.5062,7.31719,3.15723,6.39859,10.0739,9.98558,4.2425,6.35165,8.5455
6.27853,10.3596,6.28081,3.43002,5.13157,9.06944,10.2276,4.40726,6.07549,7.44148
6.44452,11.4191,7.13287,3.24942,6.19609,10.1047,10.8157,3.84758,5.15793,7.79697
6.48033,8.56343,6.05092,3.07153,5.939,10.5251,11.4176,4.69854,5.4803,7.5978
6.33208,10.1873,5.28263,3.37043,4.06341,10.9397,11.4943,4.70489,4.61222,7.8152
6.3665,10.0099,5.32136,3.49514,4.74398,10.2995,11.3371,4.83845,5.1954,7.69003
6.24504,7.05204,5.54852,3.78204,4.30879,11.2216,7.95732,4.68305,5.83834,8.34787
6.40492,10.0087,4.79211,2.79619,2.4209,10.7115,11.6758,5.35065,5.94703,8.09307
5.99591,10.5444,7.60386,3.04542,5.89459,10.6136,11.4357,4.68436,5.54557,7.66259
6.41895,10.406,5.92133,3.42786,3.85792,10.8986,11.0784,4.73719,5.69804,8.12992
5.87405,10.5297,7.12947,3.07775,4.86633,10.7492,11.1876,4.58772,4.87559,8.17617
6.56718,10.0013,5.75845,3.19568,2.44469,9.92291,9.48436,4.46862,4.97177,8.17352
6.49063,9.53227,8.01119,3.30768,4.7313,11.0149,10.2587,4.58515,5.75341,7.69138
6.39063,11.1603,7.66963,3.15193,6.04355,10.8385,10.0904,5.55998,5.21326,7.96116
6.23289,8.85554,6.04614,3.21977,4.29735,8.93718,9.56767,4.23082,4.21088,7.16202
6.09693,10.7416,9.86602,3.0062,9.80576,10.5993,10.3698,4.55766,5.83184,8.23547
6.41129,8.87568,5.64651,3.07808,3.20689,10.8729,10.5541,4.68681,6.02309,8.28604
5.88022,6.80993,8.9322,3.0857,8.46502,9.95416,9.81071,4.82502,6.04334,8.27639
5.80902,7.41964,7.76153,3.42231,6.42131,8.36437,9.94443,5.07158,5.86842,8.47911
5.66817,7.97591,7.72348,3.23948,4.92727,9.64237,9.99925,4.03607,6.11913,8.33154
6.03791,8.52387,7.28121,3.01772,7.10093,10.4075,10.8345,4.31948,5.96592,8.48625
6.19478,10.3812,7.19587,3.70915,6.67376,9.88435,10.5229,3.14068,5.51719,8.16475
6.15417,10.338,7.49263,3.3674,6.37682,11.3988,10.0416,5.06591,6.30467,8.19836
5.9761,8.75646,7.13374,3.40405,5.96898,10.1785,11.8681,5.54397,5.56664,8.24253
5.92044,6.89547,7.09081,3.75342,3.46266,11.0152,9.92344,4.43563,5.94175,8.18507
5.91493,10.3735,6.81296,3.10352,6.21482,9.41688,11.8495,3.65812,5.89605,8.35387
6.02625,6.35023,7.49176,3.16757,6.06754,8.53098,11.5732,4.40982,5.79419,8.16337
6.10506,10.1842,7.13645,3.39242,6.39067,10.1031,10.2194,4.79561,6.32918,8.15817
6.42082,8.37586,7.34866,3.25204,6.70623,10.3148,10.537,4.29882,6.92921,9.03302
6.04177,10.1191,7.36529,3.20681,5.95257,9.27487,10.5331,4.85291,6.97981,8.9177
5.74394,8.19849,7.10564,3.79608,4.18768,9.83097,10.9453,4.53804,6.08636,8.23481
5.93423,9.39862,9.93532,3.41464,7.62489,9.62111,10.7501,4.68917,6.74787,8.25751
