Preferred Semantics - Highest cardinality,Categoriser - Highest cardinality,Grounded Semantics - Highest cardinality,GroundTruth
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
,,,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
0.0,0.0,0.0,0
1.0,1.0,1.0,0
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
,,,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
1.0,1.0,1.0,1
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
1.0,1.0,1.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
,,,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
2.0,2.0,2.0,2
3.0,3.0,3.0,3
3.0,3.0,3.0,3
3.0,3.0,3.0,3
3.0,3.0,3.0,3
3.0,3.0,3.0,3
