id,CONCAT_buildUpPlayPositioningClass,CONCAT_chanceCreationPositioningClass,CONCAT_defenceDefenderLineClass,DELTA_buildUpPlayPassing,DELTA_buildUpPlaySpeed,DELTA_chanceCreationCrossing,DELTA_chanceCreationPassing,DELTA_chanceCreationShooting,DELTA_defenceAggression,DELTA_defencePressure,DELTA_defenceTeamWidth,Month_match,buildUpPlayPassing_1,buildUpPlaySpeed_1,chanceCreationCrossing_1,chanceCreationPassing_1,chanceCreationShooting_1,defenceAggression_1,defencePressure_1,defenceTeamWidth_1,RESULT
22055,0,0,0,-5,0,10,20,0,30,15,10,2,35,30,50,35,70,30,40,50,1
22064,1,1,0,5,0,15,-15,0,0,0,5,2,30,30,35,50,70,30,40,45,2
22060,1,0,1,0,-25,-30,-25,-5,-10,-15,-20,2,30,55,60,70,70,40,65,65,2
22067,0,1,2,-25,-18,-5,25,0,-35,25,25,2,55,60,45,40,70,65,45,45,1
22061,0,1,2,-15,-30,-10,35,15,0,30,30,2,45,60,70,35,55,70,30,35,3
22063,2,0,3,20,35,-15,20,15,5,40,0,2,35,35,65,45,55,65,30,55,1
22058,2,2,3,-10,-25,-20,-25,0,0,-25,-15,2,40,55,55,70,70,50,70,60,3
22062,2,0,1,0,15,-10,-5,10,25,-15,-15,2,40,40,40,50,50,40,45,45,2
22059,0,1,0,0,34,-10,25,5,-5,30,25,2,30,30,45,30,65,35,35,45,1
22066,2,1,3,10,-20,25,25,-5,-10,-25,20,2,45,65,45,45,70,65,70,30,2
22065,3,1,0,0,34,-10,10,0,-26,15,-5,2,30,30,60,55,70,60,55,60,1
22071,3,3,0,0,25,0,0,0,-30,5,0,3,30,30,60,70,70,70,60,65,1
22077,1,0,1,15,23,5,-20,0,35,0,-40,3,30,42,40,65,70,30,70,70,3
22070,2,2,2,0,0,15,-15,0,5,-15,0,3,30,30,30,45,65,30,50,45,1
22074,2,3,1,0,5,15,10,-15,35,-10,5,3,35,30,50,35,70,30,40,50,3
22068,2,2,3,25,30,10,-5,0,15,0,0,3,30,30,35,45,70,50,45,45,2
22073,2,1,2,-15,-30,-10,-15,-20,-30,-25,-10,3,55,70,50,65,70,70,70,55,1
