Preferred Semantics - Average,Categoriser - Average,Grounded Semantics - Average,GroundTruth
2.0,1.0,,0
2.0,2.0,,0
2.0,2.0,,0
1.3333333333333333,3.0,,0
2.0,1.0,,0
1.3333333333333333,3.0,,0
2.0,1.0,,0
2.0,1.0,,0
2.0,1.0,,0
2.0,1.0,,0
2.0,2.0,,0
2.0,2.0,,0
2.0,2.0,,0
2.0,1.0,,0
1.0,1.0,,0
2.0,1.0,,0
2.0,2.0,,0
2.0,1.0,,0
2.0,1.0,,0
2.0,1.0,,0
2.0,1.0,,0
2.0,1.0,,0
2.0,2.0,,0
2.0,1.0,,0
2.0,1.0,,0
1.0,1.0,,0
2.0,2.0,,0
2.0,1.0,,0
2.0,1.0,,0
2.0,1.0,,0
2.0,3.0,,0
1.0,1.0,,0
2.0,1.0,,0
1.3333333333333333,3.0,,0
2.0,1.0,,0
2.0,1.0,,0
1.0,1.0,,0
2.0,1.0,,0
1.3333333333333333,3.0,,0
2.0,2.0,,0
1.3333333333333333,3.0,,0
0.0,1.0,,1
0.0,1.0,,1
1.3333333333333333,3.0,,1
0.0,1.0,,1
0.0,1.0,,1
0.0,1.0,,1
0.0,1.0,,1
0.0,1.0,,1
0.0,1.0,,1
0.0,1.0,,1
1.5,1.5,,1
0.0,0.0,,1
0.0,1.0,,1
0.0,0.0,,1
0.0,0.0,,1
0.0,1.0,,1
0.0,2.0,,1
0.0,0.0,,1
0.0,2.0,,1
0.0,0.0,,1
0.0,0.0,,1
0.0,1.0,,1
0.0,0.0,,1
0.0,0.0,,1
0.0,2.0,,1
0.0,0.0,,1
0.0,2.0,,1
0.0,0.0,,1
0.0,1.0,,1
0.0,0.0,,1
0.0,1.0,,1
1.5,1.5,,1
0.0,1.0,,1
0.5,1.0,,2
0.0,1.0,,2
0.5,1.0,,2
0.5,1.0,,2
0.5,1.0,,2
0.0,1.0,,2
0.0,1.0,,2
2.0,1.0,,2
0.0,1.0,,2
0.5,1.0,,2
2.0,1.0,,2
0.5,1.0,,2
1.0,1.0,,2
0.5,1.0,,2
0.0,1.0,,2
0.5,1.0,,2
1.0,1.0,,2
0.5,1.0,,2
0.5,1.0,,2
0.0,1.0,,2
0.0,0.333333333,,3
0.5,1.0,,3
0.0,0.333333333,,3
0.5,1.0,,3
0.0,2.0,,3
